"condition_c","condition_c2","dummy_neg","dummy_pos","est","conf.low","conf.high"
-0.13,0.0169,1,0,0.553203623635456,0.41695378749456,0.681904386192909
-0.12,0.0144,1,0,0.560603064453623,0.427052239775012,0.685918871751668
-0.11,0.0121,1,0,0.567602594733602,0.43673311396619,0.689671532779758
-0.1,0.01,1,0,0.574203597726207,0.445981605741518,0.693166641633611
-0.09,0.00809999999999999,1,0,0.580408078148386,0.454785005335756,0.696408431279089
-0.08,0.0064,1,0,0.586218537684569,0.463132504389064,0.69940108040148
-0.07,0.0049,1,0,0.591637859163301,0.471014994281961,0.702148701487534
-0.06,0.0036,1,0,0.596669199635643,0.478424860905094,0.704655331514933
-0.05,0.0025,1,0,0.601315892398321,0.485355780202038,0.706924924854216
-0.04,0.0016,1,0,0.605581357858029,0.491802518225295,0.70896134795666
-0.03,0.000899999999999998,1,0,0.609469023020488,0.497760738879033,0.710768375369652
-0.02,0.000400000000000001,1,0,0.612982249305362,0.503226822003027,0.71234968659031
-0.01,1e-04,1,0,0.616124268332332,0.50819769399028,0.713708863240806
0,0,1,0,0.618898125290993,0.512670672729351,0.714849386028207
0.01,1e-04,0,1,0.621387270664025,0.516742580659353,0.715833229283222
0.02,0.000400000000000001,0,1,0.623674149150508,0.520512684870191,0.716719802174014
0.03,0.000900000000000002,0,1,0.625760074281148,0.523982165981038,0.717508740939733
0.04,0.0016,0,1,0.627646280854141,0.52715213792618,0.718199801004036
0.05,0.0025,0,1,0.629333915444016,0.530023590044617,0.718792870217171
0.0600000000000001,0.00360000000000001,0,1,0.630824027970603,0.532597334629505,0.719287981259229
0.0700000000000001,0.00490000000000001,0,1,0.632117564280734,0.534873960149581,0.719685322948413
0.08,0.00639999999999999,0,1,0.633215359698698,0.536853790352325,0.719985250186292
0.09,0.00809999999999999,0,1,0.634118133505447,0.538536849461991,0.720188292262287
0.1,0.01,0,1,0.634826484310983,0.539922833692239,0.720295159233596
0.11,0.0121,0,1,0.635340886289114,0.54101108930014,0.720306746096098
0.12,0.0144,0,1,0.635661686248824,0.541800597412551,0.720224134468717
0.13,0.0169,0,1,0.63578910152182,0.542289965853968,0.720048591530627
0.14,0.0196,0,1,0.63572321865126,0.542477428193553,0.719781565979984
0.15,0.0225,0,1,0.635463992872248,0.542360850205074,0.719424680826693
0.16,0.0256,0,1,0.635011248380363,0.541937743894465,0.718979722891732
0.17,0.0289,0,1,0.634364679390148,0.541205289194042,0.718448628962345
0.18,0.0324,0,1,0.63352385199118,0.540160363349863,0.71783346864545
0.19,0.0361,0,1,0.632488206814932,0.538799577940515,0.717136424068536
0.2,0.04,0,1,0.631257062531173,0.537119323364799,0.716359766694367
0.21,0.0441,0,1,0.629829620197968,0.535115820527066,0.715505831636954
0.22,0.0484,0,1,0.628204968494522,0.532785179338459,0.714576989984513
0.23,0.0529,0,1,0.626382089870957,0.530123463547257,0.71357561974195
0.24,0.0576,0,1,0.624359867653653,0.527126761319161,0.712504076092309
0.25,0.0625,0,1,0.622137094148917,0.523791260915544,0.711364661735534
0.26,0.0676,0,1,0.619712479791368,0.520113330769418,0.710159598087227
0.27,0.0729,0,1,0.617084663386427,0.516089603237905,0.708890998105929
0.28,0.0784,0,1,0.614252223498673,0.511717061315874,0.707560841463641
0.29,0.0841,0,1,0.611213691039274,0.506993127624383,0.706170952683325
0.3,0.09,0,1,0.607967563106287,0.50191575503275,0.704722982744697
0.31,0.0961,0,1,0.604512318131021,0.496483518325004,0.703218394514008
0.32,0.1024,0,1,0.600846432381861,0.490695706369171,0.701658452195173
0.33,0.1089,0,1,0.596968397873662,0.484552414280033,0.700044214839335
0.34,0.1156,0,1,0.592876741725982,0.478054635072327,0.698376533798448
0.35,0.1225,0,1,0.588570047006725,0.471204350273706,0.696656053874752
0.36,0.1296,0,1,0.584046975089118,0.464004618900097,0.694883217808935
0.37,0.1369,0,1,0.579306289539095,0.456459664088951,0.693058273669532
0.38,0.1444,0,1,0.574346881536957,0.448574956540803,0.6911812846561
0.39,0.1521,0,1,0.569167796821391,0.440357293742703,0.68925214080786
0.4,0.16,0,1,0.563768264125515,0.431814873748041,0.687270572114785
0.41,0.1681,0,1,0.558147725053273,0.422957362078154,0.685236162555013
0.42,0.1764,0,1,0.552305865320332,0.413795950106213,0.683148364625888
0.43,0.1849,0,1,0.546242647256437,0.404343403098548,0.681006513990443
0.44,0.1936,0,1,0.539958343436092,0.394614095938704,0.678809843921737
0.45,0.2025,0,1,0.533453571271444,0.384624034460827,0.676557499289902
0.46,0.2116,0,1,0.52672932836569,0.374390860285951,0.674248549897294
0.47,0.2209,0,1,0.51978702838732,0.36393383710047,0.671882003023414
0.48,0.2304,0,1,0.512628537185612,0.353273816450938,0.669456815091358
0.49,0.2401,0,1,0.505256208826466,0.342433181360678,0.666971902410597
0.5,0.25,0,1,0.497672921185616,0.331435766405063,0.664426150986519
