"condition_c","condition_c2","dummy_neg","dummy_pos","est","conf.low","conf.high"
-0.21,0.0441,1,0,0.300145251430348,0.127225541273562,0.557865356693054
-0.2,0.04,1,0,0.325262706310589,0.144177721925856,0.579722794361215
-0.19,0.0361,1,0,0.350340042220123,0.162145759765086,0.600430399420636
-0.18,0.0324,1,0,0.375153644911933,0.180986674365654,0.619950162523167
-0.17,0.0289,1,0,0.399495877911738,0.20053339049118,0.638262742507078
-0.16,0.0256,1,0,0.423179997004003,0.220600372206689,0.655364858249213
-0.15,0.0225,1,0,0.446043445632728,0.240990067354605,0.671266611472099
-0.14,0.0196,1,0,0.467949552680806,0.261499651679582,0.685988874800222
-0.13,0.0169,1,0,0.488787783876457,0.281927564332843,0.699560842328663
-0.12,0.0144,1,0,0.508472785395305,0.30207938935396,0.712017806208762
-0.11,0.0121,1,0,0.526942502075845,0.321772745395889,0.72339919420242
-0.1,0.01,1,0,0.544155658727736,0.340840977161653,0.733746880570044
-0.09,0.00809999999999999,1,0,0.560088870742754,0.359135575013737,0.743103765957144
-0.08,0.0064,1,0,0.574733610130198,0.376527366096606,0.75151261052608
-0.07,0.0049,1,0,0.588093204767832,0.392906609553496,0.759015097570806
-0.06,0.0036,1,0,0.600179999602135,0.408182185427726,0.765651101304691
-0.05,0.0025,1,0,0.611012763846332,0.422280092933991,0.771458131520054
-0.04,0.0016,1,0,0.620614390766559,0.435141474300765,0.776470928590569
-0.03,0.000899999999999998,1,0,0.62900990748534,0.446720362606768,0.780721184170976
-0.02,0.000400000000000001,1,0,0.636224791196514,0.456981323460802,0.784237365430589
-0.01,1e-04,1,0,0.642283574368145,0.465897127543048,0.78704462335383
0,0,1,0,0.647208713661633,0.473446558923482,0.789164768277279
0.01,1e-04,0,1,0.651493262292138,0.480167864287759,0.790938073036504
0.02,0.000400000000000001,0,1,0.655617886868744,0.486611752260161,0.792690232993518
0.03,0.000900000000000002,0,1,0.659584377378573,0.492778946508562,0.794419088048632
0.04,0.0016,0,1,0.663394552925575,0.498669994957125,0.796123017817727
0.05,0.0025,0,1,0.66705025035689,0.504285144040803,0.797800964650434
0.0600000000000001,0.00360000000000001,0,1,0.670553313664397,0.509624225294534,0.799452451715307
0.0700000000000001,0.00490000000000001,0,1,0.673905584134278,0.514686554730956,0.80107759586901
0.08,0.00639999999999999,0,1,0.67710889121504,0.519470845379813,0.802677114983802
0.09,0.00809999999999999,0,1,0.680165044072677,0.523975133327334,0.80425232934745
0.1,0.01,0,1,0.683075823800416,0.528196717594925,0.805805156679752
0.11,0.0121,0,1,0.685842976249763,0.532132114220452,0.807338100240202
0.12,0.0144,0,1,0.688468205449265,0.535777024936638,0.808854229444926
0.13,0.0169,0,1,0.690953167577454,0.53912632086231,0.810357152382605
0.14,0.0196,0,1,0.693299465456838,0.542174041614433,0.811850979634925
0.15,0.0225,0,1,0.695508643536459,0.544913410193793,0.813340278883401
0.16,0.0256,0,1,0.697582183331442,0.547336863877854,0.814830019935691
0.17,0.0289,0,1,0.699521499289017,0.549436101158362,0.816325510041505
0.18,0.0324,0,1,0.701327935051795,0.551202144482434,0.817832319695032
0.19,0.0361,0,1,0.703002760090404,0.552625418197436,0.819356199532862
0.2,0.04,0,1,0.704547166679122,0.553695840676109,0.820902989417564
0.21,0.0441,0,1,0.705962267189675,0.554402929135829,0.822478521319476
0.22,0.0484,0,1,0.707249091680041,0.554735915202934,0.824088518132679
0.23,0.0529,0,1,0.708408585756718,0.554683868857256,0.82573849103664
0.24,0.0576,0,1,0.709441608690705,0.55423582807512,0.827433638388833
0.25,0.0625,0,1,0.710348931769104,0.553380931320347,0.829178749354761
0.26,0.0676,0,1,0.711131236866058,0.552108550051142,0.830978115508881
0.27,0.0729,0,1,0.711789115218462,0.550408418637189,0.832835453449467
0.28,0.0784,0,1,0.712323066393648,0.548270759513436,0.834753841061809
0.29,0.0841,0,1,0.71273349743803,0.545686402006958,0.836735669462009
0.3,0.09,0,1,0.713020722197398,0.542646894009135,0.83878261190597
0.31,0.0961,0,1,0.713184960801349,0.539144606457578,0.840895610120502
0.32,0.1024,0,1,0.713226339306052,0.535172831362542,0.843074877679424
0.33,0.1089,0,1,0.7131448894913,0.530725874784158,0.845319919279202
0.34,0.1156,0,1,0.712940548809531,0.525799146674215,0.847629564126576
0.35,0.1225,0,1,0.712613160486233,0.520389249792561,0.850002011176928
0.36,0.1296,0,1,0.712162473772887,0.514494069968657,0.85243488367712
0.37,0.1369,0,1,0.71158814435532,0.508112869801274,0.854925290368808
0.38,0.1444,0,1,0.710889734922104,0.501246387490833,0.857469890778197
0.39,0.1521,0,1,0.710066715899336,0.49389694191122,0.86006496222354
0.4,0.16,0,1,0.70911846635993,0.486068544291795,0.862706466473407
0.41,0.1681,0,1,0.70804427511725,0.477767016040318,0.865390114347036
0.42,0.1764,0,1,0.706843342014716,0.469000111338527,0.868111426926739
0.43,0.1849,0,1,0.705514779424729,0.459777642226691,0.870865792421732
0.44,0.1936,0,1,0.704057613972057,0.450111603001214,0.873648518061101
0.45,0.2025,0,1,0.702470788498552,0.440016289917376,0.87645487668716
0.46,0.2116,0,1,0.700753164287829,0.429508411452548,0.879280147962302
0.47,0.2209,0,1,0.698903523570258,0.418607183778209,0.882119654291597
0.48,0.2304,0,1,0.696920572330325,0.407334405645857,0.884968791702664
0.49,0.2401,0,1,0.694802943440088,0.395714506646426,0.887823056019397
0.5,0.25,0,1,0.692549200144062,0.383774562787768,0.89067806472376
