"subject","choiceTrial","choiceRt","chosenDeckId","difference","difficulty","selectedDeckLocation","leftDeckId","rightDeckId","riskyDeckSwitchTop","riskyDeckSwitchBottom","safeDeckSwitch","outcomeSwitch","condition","selectedRiskyDeck"
28,3,1883,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
28,4,1550,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
28,5,1423,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
28,6,3110,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,8,"EM",1
28,7,2970,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
28,8,2379,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
28,9,1808,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
28,10,1487,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
28,11,2010,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,8,"HE",1
28,12,1576,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
28,13,1684,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,8,"HE",1
28,14,2910,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,8,"HM",1
28,15,1314,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
28,16,1310,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
28,17,1847,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,14,"HE",1
28,18,1194,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
28,19,1497,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
28,20,1133,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
28,21,2150,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,4,"EM",1
28,22,2538,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,8,"HM",1
28,23,2218,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
28,24,1945,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,8,"HE",1
28,25,1548,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,8,"HM",1
28,26,2357,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
28,27,1117,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
28,28,1477,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,14,"HE",1
28,29,1300,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,14,"HE",1
28,30,1826,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,8,"EM",1
